Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.74,0.16,0,0.744624,0.0860215,0.169355,0.935484,186
0.74,0.17,0,0.703911,0.104749,0.191341,0.927374,358
0.74,0.18,0,0.724074,0.0981481,0.177778,0.937037,270
0.52,0.21,0,0.596317,0.143059,0.260623,0.833805,1059
0.74,0.19,0,0.700397,0.10119,0.198413,0.904762,252
0.74,0.2,0,0.67957,0.1,0.22043,0.905376,465
0.74,0.21,0,0.739583,0.078125,0.182292,0.895833,96
0.74,0.22,0,0.621212,0.118182,0.260606,0.866667,165
0.74,0.23,0,0.667647,0.0882353,0.244118,0.897059,340
0.74,0.24,0,0.75,0.0804598,0.16954,0.965517,174
0.74,0.25,0,0.668122,0.0720524,0.259825,0.884279,458
0.74,0.26,0,0.673387,0.0766129,0.25,0.897849,372
0.74,0.27,0,0.607143,0.0903361,0.302521,0.827731,238
0.74,0.28,0,0.617544,0.0964912,0.285965,0.842105,285
0.52,0.22,0,0.577851,0.148575,0.273575,0.828947,912
0.74,0.29,0,0.602757,0.085213,0.31203,0.844612,399
0.74,0.3,0,0.6139,0.0945946,0.291506,0.864865,259
0.74,0.31,0,0.574699,0.0662651,0.359036,0.792771,415
0.74,0.32,0,0.603916,0.0798193,0.316265,0.849398,332
0.74,0.33,0,0.582524,0.0679612,0.349515,0.81068,206
0.74,0.34,0,0.552133,0.0876777,0.36019,0.812796,422
0.74,0.35,0,0.540094,0.0872642,0.372642,0.79717,212
0.74,0.36,0,0.551923,0.0769231,0.371154,0.773077,260
0.74,0.37,0,0.545455,0.0719697,0.382576,0.818182,264
0.74,0.38,0,0.497908,0.117155,0.384937,0.723849,239
0.52,0.23,0,0.544367,0.157029,0.298604,0.790628,1003
0.74,0.39,0,0.509146,0.105183,0.385671,0.762195,328
0.74,0.4,0,0.465957,0.108511,0.425532,0.706383,235
0.74,0.41,0,0.49568,0.0907127,0.413607,0.740821,463
0.74,0.42,0,0.512195,0.0960366,0.391768,0.759146,328
0.74,0.43,0,0.44357,0.103675,0.452756,0.692913,381
0.74,0.44,0,0.475524,0.0786713,0.445804,0.72028,286
0.74,0.45,0,0.45283,0.0931604,0.454009,0.693396,424
0.74,0.46,0,0.464935,0.0753247,0.45974,0.716883,385
0.74,0.47,0,0.459318,0.103675,0.437008,0.703412,381
0.74,0.48,0,0.422006,0.0779944,0.5,0.671309,359
0.52,0.24,0,0.554611,0.152641,0.292748,0.801253,1117
0.74,0.49,0,0.413525,0.094235,0.492239,0.658537,451
0.75,0,0.0783133,0.921687,0,0,0.99759,415
0.75,0.01,0.0685484,0.903226,0.016129,0.0120968,1,124
0.75,0.02,0.027668,0.913043,0.0316206,0.027668,0.992095,253
0.75,0.03,0,0,0,0,0,0
0.75,0.04,0,0.868664,0.0806452,0.0506912,0.995392,217
0.75,0.05,0,0.87987,0.0844156,0.0357143,0.980519,154
0.75,0.06,0,0.860563,0.0760563,0.0633803,0.977465,355
0.75,0.07,0,0.846698,0.0566038,0.0966981,0.966981,212
0.75,0.08,0,0.855814,0.0697674,0.0744186,0.976744,215
0.52,0.25,0,0.541013,0.14234,0.316647,0.772014,829
0.75,0.09,0,0.848901,0.0659341,0.0851648,0.967033,182
0.75,0.1,0,0.788066,0.0802469,0.131687,0.958848,243
0.75,0.11,0,0.805882,0.1,0.0941176,0.960784,255
0.75,0.12,0,0.734375,0.078125,0.1875,0.953125,64
0.75,0.13,0,0.784014,0.0986395,0.117347,0.942177,294
0.75,0.14,0,0.80339,0.0762712,0.120339,0.969492,295
0.75,0.15,0,0.781768,0.0745856,0.143646,0.955801,181
0.75,0.16,0,0.74902,0.0705882,0.180392,0.92549,255
0.75,0.17,0,0.721884,0.0866261,0.191489,0.917933,329
0.75,0.18,0,0.725705,0.0752351,0.19906,0.937304,319
0.52,0.26,0,0.4941,0.147001,0.358899,0.753196,1017
0.75,0.19,0,0.726636,0.0584112,0.214953,0.929907,214
0.75,0.2,0,0.706704,0.0796089,0.213687,0.916201,358
0.75,0.21,0,0.725225,0.0833333,0.191441,0.914414,222
0.75,0.22,0,0.661765,0.0882353,0.25,0.903361,238
0.75,0.23,0,0.678261,0.113043,0.208696,0.852174,115
0.75,0.24,0,0.637838,0.105405,0.256757,0.875676,185
0.75,0.25,0,0.677966,0.0783898,0.243644,0.894068,236
0.75,0.26,0,0.669903,0.0841424,0.245955,0.909385,309
0.75,0.27,0,0.654501,0.0839416,0.261557,0.885645,411
0.75,0.28,0,0.673828,0.0625,0.263672,0.871094,256
0.52,0.27,0,0.539432,0.138275,0.322292,0.796004,951
0.75,0.29,0,0.612167,0.0684411,0.319392,0.844106,263
0.75,0.3,0,0.622423,0.0798969,0.29768,0.865979,388
0.75,0.31,0,0.597384,0.0784884,0.324128,0.831395,344
0.75,0.32,0,0.580808,0.0909091,0.328283,0.824916,297
0.75,0.33,0,0.545576,0.0924933,0.36193,0.782842,373
0.75,0.34,0,0.58432,0.066568,0.349112,0.828402,338
0.75,0.35,0,0.566869,0.0790274,0.354103,0.799392,329
0.75,0.36,0,0.505602,0.0882353,0.406162,0.753501,357
0.75,0.37,0,0.537037,0.0978836,0.365079,0.791005,378
0.75,0.38,0,0.522869,0.0935551,0.383576,0.767152,481
0.52,0.28,0,0.52093,0.143256,0.335814,0.772093,1075
0.75,0.39,0,0.47541,0.0963115,0.428279,0.741803,244
0.75,0.4,0,0.533898,0.065678,0.400424,0.771186,236
0.75,0.41,0,0.501229,0.103194,0.395577,0.769042,407
0.75,0.42,0,0.491501,0.0793201,0.429178,0.759207,353
0.75,0.43,0,0.503367,0.0791246,0.417508,0.727273,297
0.75,0.44,0,0.456522,0.084399,0.459079,0.705882,391
0.75,0.45,0,0.471429,0.0985714,0.43,0.737143,350
0.75,0.46,0,0.42053,0.104857,0.474614,0.684327,453
0.75,0.47,0,0.416667,0.0977564,0.485577,0.685897,312
0.75,0.48,0,0.436667,0.0766667,0.486667,0.664444,450
0.5,0.12,0.00488455,0.664742,0.150977,0.179396,0.884547,1126
0.52,0.29,0,0.510795,0.15625,0.332955,0.756818,880
0.75,0.49,0,0.431931,0.0928218,0.475248,0.668317,404
0.76,0,0.0622318,0.937768,0,0,1,233
0.76,0.01,0.0856481,0.894676,0.00231481,0.0173611,0.99537,432
0.76,0.02,0,0.921941,0.0464135,0.0316456,1,237
0.76,0.03,0,0.885802,0.0802469,0.0339506,0.987654,162
0.76,0.04,0,0,0,0,0,0
0.76,0.05,0.0426829,0.876524,0.0320122,0.0487805,0.990854,328
0.76,0.06,0,0,0,0,0,0
0.76,0.07,0,0,0,0,0,0
0.76,0.08,0,0.841667,0.0541667,0.104167,0.966667,120
0.52,0.3,0,0.485928,0.139402,0.37467,0.730871,1137
0.76,0.09,0,0.804264,0.0794574,0.116279,0.972868,258
0.76,0.1,0,0.81901,0.0820312,0.0989583,0.958333,384
0.76,0.11,0,0.80137,0.0719178,0.126712,0.945205,146
0.76,0.12,0,0.769608,0.0612745,0.169118,0.946078,204
0.76,0.13,0,0.830317,0.0520362,0.117647,0.9819,221
0.76,0.14,0,0.7751,0.0843373,0.140562,0.959839,249
0.76,0.15,0,0.733591,0.0772201,0.189189,0.945946,259
0.76,0.16,0,0.766667,0.0666667,0.166667,0.933333,210
0.76,0.17,0,0,0,0,0,0
0.76,0.18,0,0.71521,0.079288,0.205502,0.899676,309
0.52,0.31,0,0.459375,0.15,0.390625,0.72625,800
0.76,0.19,0,0.688053,0.0840708,0.227876,0.902655,226
0.76,0.2,0,0.735294,0.0454545,0.219251,0.914439,187
0.76,0.21,0,0.628676,0.117647,0.253676,0.875,136
0.76,0.22,0,0.700637,0.0796178,0.219745,0.929936,157
0.76,0.23,0,0.616279,0.0813953,0.302326,0.895349,86
0.76,0.24,0,0.675793,0.0778098,0.246398,0.902017,347
0.76,0.25,0,0.650215,0.0600858,0.2897,0.854077,233
0.76,0.26,0,0.610526,0.0657895,0.323684,0.852632,190
0.76,0.27,0,0.637441,0.0781991,0.28436,0.872038,211
0.76,0.28,0,0.663317,0.0929648,0.243719,0.859296,199
0.52,0.32,0,0.45569,0.146022,0.398288,0.711984,993
0.76,0.29,0,0.612319,0.101449,0.286232,0.826087,138
0.76,0.3,0,0.578182,0.0745455,0.347273,0.814545,275
0.76,0.31,0,0.602662,0.0741445,0.323194,0.847909,263
0.76,0.32,0,0.597098,0.0770089,0.325893,0.828125,448
0.76,0.33,0,0.565611,0.0893665,0.345023,0.812217,442
0.76,0.34,0,0.542781,0.0989305,0.358289,0.834225,187
0.76,0.35,0,0.570707,0.0707071,0.358586,0.848485,198
0.76,0.36,0,0.56917,0.0632411,0.367589,0.786561,253
0.76,0.37,0,0.532308,0.0923077,0.375385,0.772308,325
0.76,0.38,0,0.534483,0.0827586,0.382759,0.793103,145
0.52,0.33,0,0.469184,0.145833,0.384983,0.728299,1152
0.76,0.39,0,0.525,0.0769231,0.398077,0.784615,260
0.76,0.4,0,0.520635,0.0809524,0.398413,0.765079,315
0.76,0.41,0,0.491266,0.0829694,0.425764,0.746725,229
0.76,0.42,0,0.482,0.086,0.432,0.728,250
0.76,0.43,0,0.451172,0.078125,0.470703,0.671875,256
0.76,0.44,0,0.479087,0.0741445,0.446768,0.726236,526
0.76,0.45,0,0.470588,0.0833333,0.446078,0.74183,306
0.76,0.46,0,0.506993,0.0792541,0.413753,0.74359,429
0.76,0.47,0,0.4599,0.0877193,0.452381,0.716792,399
0.76,0.48,0,0.437681,0.0956522,0.466667,0.672464,345
0.52,0.34,0,0.430946,0.159207,0.409847,0.679028,782
0.76,0.49,0,0.382136,0.104052,0.513812,0.61326,543
0.77,0,0,0,0,0,0,0
0.77,0.01,0,0,0,0,0,0
0.77,0.02,0,0,0,0,0,0
0.77,0.03,0,0.882576,0.0833333,0.0340909,0.992424,132
0.77,0.04,0,0,0,0,0,0
0.77,0.05,0,0,0,0,0,0
0.77,0.06,0,0,0,0,0,0
0.77,0.07,0,0,0,0,0,0
0.77,0.08,0,0.823404,0.087234,0.0893617,0.982979,235
0.52,0.35,0,0.440649,0.138858,0.420493,0.705487,893
0.77,0.09,0,0.837209,0.0697674,0.0930233,0.976744,258
0.77,0.1,0,0,0,0,0,0
0.77,0.11,0,0,0,0,0,0
0.77,0.12,0,0.824645,0.0545024,0.120853,0.981043,211
0.77,0.13,0,0.710784,0.0735294,0.215686,0.911765,102
0.77,0.14,0,0.821053,0.0631579,0.115789,0.989474,95
0.77,0.15,0,0.793478,0.0570652,0.149457,0.934783,184
0.77,0.16,0,0.693548,0.125806,0.180645,0.903226,155
0.77,0.17,0,0.754054,0.0891892,0.156757,0.951351,185
0.77,0.18,0,0.746914,0.0596708,0.193416,0.946502,243
0.52,0.36,0,0.438723,0.139032,0.422245,0.678682,971
0.77,0.19,0,0.732068,0.07173,0.196203,0.915612,237
0.77,0.2,0,0.73125,0.05625,0.2125,0.9625,80
0.77,0.21,0,0.734513,0.0464602,0.219027,0.933628,226
0.77,0.22,0,0.705706,0.0690691,0.225225,0.924925,333
0.77,0.23,0,0.697279,0.0680272,0.234694,0.92517,147
0.77,0.24,0,0.668478,0.048913,0.282609,0.875,184
0.77,0.25,0,0.72093,0.0116279,0.267442,0.953488,43
0.77,0.26,0,0.630952,0.0654762,0.303571,0.857143,336
0.77,0.27,0,0.64693,0.0899123,0.263158,0.877193,228
0.77,0.28,0,0.620968,0.0967742,0.282258,0.844086,186
