Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.75,0.036,0,0.722343,0,0.277657,0.923548,5062
0.75,0.037,0,0.621869,0,0.378131,0.856468,4870
0.75,0.038,0,0.72661,0,0.27339,0.927772,4735
0.75,0.039,0,0.654489,0,0.345511,0.873684,4845
0.75,0.04,0,0.721489,0,0.278511,0.922871,4849
0.75,0.041,0,0.615304,0,0.384696,0.849494,4744
0.75,0.042,0,0.767389,0,0.232611,0.945717,4845
0.75,0.043,0,0.478518,0,0.521482,0.730175,4981
0.52,0.029,0,0.793929,0,0.206071,0.9569,4826
0.75,0.044,0,0.569399,0,0.430601,0.807427,4928
0.75,0.045,0,0.700576,0,0.299424,0.908936,4689
0.75,0.046,0,0.58701,0,0.41299,0.834639,4850
0.75,0.047,0,0.607662,0,0.392338,0.846553,4816
0.75,0.048,0,0.63962,0,0.36038,0.872389,4788
0.75,0.049,0,0.578503,0,0.421497,0.816684,4675
0.75,0.05,0,0.470236,0,0.529764,0.71861,4922
0.76,0,0,1,0,0,1,4929
0.76,0.001,0,1,0,0,1,4870
0.76,0.002,0,0.977995,0,0.0220046,0.999368,4749
0.52,0.03,0,0.686665,0,0.313335,0.897604,4717
0.76,0.003,0,0.982487,0,0.017513,0.999585,4825
0.76,0.004,0,1,0,0,1,4768
0.76,0.005,0,0.821383,0,0.178617,0.966892,4742
0.76,0.006,0,0.971499,0,0.0285011,0.99918,4877
0.76,0.007,0,0.909167,0,0.090833,0.993512,4778
0.76,0.008,0,0.962484,0,0.0375159,0.999364,4718
0.76,0.009,0,0.92107,0,0.07893,0.994055,4542
0.76,0.01,0,0.796992,0,0.203008,0.964077,4788
0.76,0.011,0,0.923576,0,0.0764238,0.992044,4776
0.76,0.012,0,0.914204,0,0.0857957,0.990291,4738
0.52,0.031,0,0.531443,0,0.468557,0.773814,4850
0.76,0.013,0,0.87796,0,0.12204,0.984005,4814
0.76,0.014,0,0.807072,0,0.192928,0.964227,4836
0.76,0.015,0,0.738383,0,0.261617,0.936862,4799
0.76,0.016,0,0.883577,0,0.116423,0.988461,4853
0.76,0.017,0,0.740308,0,0.259692,0.931521,4746
0.76,0.018,0,0.748851,0,0.251149,0.933375,4788
0.76,0.019,0,0.871333,0,0.128667,0.982397,4772
0.76,0.02,0,0.876065,0,0.123935,0.98701,4696
0.76,0.021,0,0.822917,0,0.177083,0.965759,4848
0.76,0.022,0,0.672727,0,0.327273,0.893869,4730
0.52,0.032,0,0.620697,0,0.379303,0.855685,4996
0.76,0.023,0,0.783623,0,0.216377,0.951075,4885
0.76,0.024,0,0.801256,0,0.198744,0.954619,4936
0.76,0.025,0,0.808762,0,0.191238,0.964493,4816
0.76,0.026,0,0.70757,0,0.29243,0.916478,4861
0.76,0.027,0,0.788127,0,0.211873,0.949441,4826
0.76,0.028,0,0.722376,0,0.277624,0.922078,4697
0.76,0.029,0,0.669365,0,0.330635,0.893732,4818
0.76,0.03,0,0.747481,0,0.252519,0.937693,4863
0.76,0.031,0,0.656113,0,0.343887,0.875749,5006
0.76,0.032,0,0.719451,0,0.280549,0.921026,4951
0.52,0.033,0,0.69816,0,0.30184,0.911309,4837
0.76,0.033,0,0.736069,0,0.263931,0.93121,4899
0.76,0.034,0,0.569255,0,0.430745,0.818048,4765
0.76,0.035,0,0.597566,0,0.402434,0.839068,4766
0.76,0.036,0,0.657276,0,0.342724,0.881593,4721
0.76,0.037,0,0.800666,0,0.199334,0.956929,4806
0.76,0.038,0,0.646841,0,0.353159,0.883049,4985
0.76,0.039,0,0.518261,0,0.481739,0.769976,4956
0.76,0.04,0,0.68098,0,0.31902,0.898855,4716
0.76,0.041,0,0.526563,0,0.473437,0.787932,4574
0.76,0.042,0,0.656395,0,0.343605,0.880311,4754
0.52,0.034,0,0.630057,0,0.369943,0.865089,4944
0.76,0.043,0,0.703112,0,0.296888,0.906225,4948
0.76,0.044,0,0.596643,0,0.403357,0.83296,4915
0.76,0.045,0,0.516917,0,0.483083,0.77193,4788
0.76,0.046,0,0.698396,0,0.301604,0.914225,4675
0.76,0.047,0,0.435501,0,0.564499,0.683798,4845
0.76,0.048,0,0.54496,0,0.45504,0.788791,4782
0.76,0.049,0,0.533034,0,0.466966,0.784988,5116
0.76,0.05,0,0.598261,0,0.401739,0.840561,4773
0.77,0,0,1,0,0,1,4743
0.77,0.001,0,0.984442,0,0.0155579,0.999571,4660
0.52,0.035,0,0.535239,0,0.464761,0.779834,4810
0.77,0.002,0,1,0,0,1,4708
0.77,0.003,0,0.883298,0,0.116702,0.984368,4670
0.77,0.004,0,0.952278,0,0.0477219,0.999352,4631
0.77,0.005,0,0.979581,0,0.0204188,0.999791,4775
0.77,0.006,0,0.977282,0,0.0227176,0.999573,4688
0.77,0.007,0,0.933605,0,0.0663948,0.994145,4782
0.77,0.008,0,0.92564,0,0.0743601,0.992384,4727
0.77,0.009,0,0.965708,0,0.0342923,0.998124,4797
0.77,0.01,0,0.90085,0,0.0991498,0.992986,4705
0.77,0.011,0,0.957752,0,0.0422476,0.998944,4734
0.52,0.036,0,0.540087,0,0.459913,0.78587,5039
0.77,0.012,0,0.9672,0,0.0328005,0.998754,4817
0.77,0.013,0,0.943587,0,0.0564129,0.99708,4795
0.77,0.014,0,0.849195,0,0.150805,0.976685,4718
0.77,0.015,0,0.781176,0,0.218824,0.94631,4675
0.77,0.016,0,0.784058,0,0.215942,0.946998,4830
0.77,0.017,0,0.758002,0,0.241998,0.941526,4874
0.77,0.018,0,0.885546,0,0.114454,0.989293,4670
0.77,0.019,0,0.809036,0,0.190964,0.964024,4781
0.77,0.02,0,0.499184,0,0.500816,0.748725,4903
0.77,0.021,0,0.983728,0,0.0162722,0.999789,4732
